row_number,original_text,processed_text,error
1,¿Cuál es la capital de Francia?,La capital de Francia es París.,
2,Nombra el planeta más grande de nuestro sistema solar.,Júpiter es el planeta más grande del sistema solar.,
3,"¿Quién escribió ""Cien años de soledad""?","Gabriel García Márquez escribió ""Cien años de soledad"".",
4,¿Cuál es la fórmula química del agua?,La fórmula química del agua es H₂O.,
5,¿En qué año llegó el hombre a la Luna?,"El hombre llegó a la Luna en 1969, específicamente el 20 de julio, cuando Neil Armstrong y Buzz Aldrin de la misión Apollo 11 pisaron la superficie lunar.",
6,"Define ""fotosíntesis"" en una frase.","La fotosíntesis es el proceso por el cual las plantas y otros organismos convierten la luz solar, agua y dióxido de carbono en glucosa y oxígeno.",
7,¿Cuál es el río más largo del mundo?,"El Nilo es el río más largo del mundo, con aproximadamente 6,650 kilómetros de longitud.",
8,Nombra una fruta cítrica.,Limón,
9,¿Quién pintó la Mona Lisa?,Leonardo da Vinci pintó la Mona Lisa.,
10,¿Qué es un byte?,"Un byte es una unidad de información digital que consiste en 8 bits. Es la unidad básica de almacenamiento en computadoras, capaz de representar 256 valores diferentes (de 0 a 255). Se usa para almacenar caracteres, números y otros datos en sistemas informáticos.",
11,¿Cuál es el animal terrestre más rápido?,"El guepardo es el animal terrestre más rápido, alcanzando velocidades de hasta 120 km/h en carreras cortas.",
12,¿En qué continente se encuentra el desierto del Sahara?,El desierto del Sahara se encuentra en África.,
13,Nombra un instrumento de cuerda.,"Necesito aclaración. Me pides que:

1. Analice un texto y proporcione un resumen conciso
2. El texto dice: ""Nombra un instrumento de cuerda""

Si deseas que nombre un instrumento de cuerda: **guitarra**

Si hay otro texto que analizar, por favor compártelo.",
14,¿Cuál es la moneda de Japón?,El yen (¥) es la moneda oficial de Japón.,
15,¿Qué gas compone la mayor parte de la atmósfera terrestre?,Nitrógeno (78%),
16,¿Cuál es el océano más grande?,El océano más grande es el Océano Pacífico.,
17,Nombra un tipo de energía renovable.,La energía solar.,
18,"¿Quién es el autor de ""Don Quijote de la Mancha""?",Miguel de Cervantes.,
19,¿Qué es la gravedad?,"La gravedad es una fuerza fundamental de la naturaleza que causa la atracción mutua entre objetos con masa. Según Einstein, es una curvatura del espacio-tiempo causada por la masa y energía. En la Tierra, produce una aceleración de aproximadamente 9.8 m/s² y es responsable de mantener los planetas en órbita alrededor del Sol.",
20,¿Cuál es la montaña más alta del mundo?,"El Monte Everest es la montaña más alta del mundo, con una altura de 8,848.86 metros sobre el nivel del mar.",
21,Nombra un animal que hiberna.,Oso.,
22,¿Qué es un algoritmo?,"No veo ningún texto para analizar. Solo veo la pregunta ""¿Qué es un algoritmo?"".

Un algoritmo es una secuencia finita de instrucciones precisas y bien definidas para resolver un problema o realizar una tarea específica.",
23,¿Cuál es el elemento químico más abundante en la Tierra?,"Necesito que me proporciones el texto que quieres que analice. En tu mensaje mencionas ""el siguiente texto"" pero no incluiste ningún texto para analizar.

Si tu pregunta es directamente ""¿Cuál es el elemento químico más abundante en la Tierra?"", la respuesta es:

**Oxígeno** - representa aproximadamente el 46% de la corteza terrestre por masa, principalmente en forma de óxidos minerales y silicatos.",
24,¿En qué país se encuentra la Gran Muralla?,La Gran Muralla se encuentra en China.,
25,Nombra un deporte olímpico.,Natación.,
26,¿Cuál es la capital de Italia?,Roma es la capital de Italia.,
27,¿Quién fue Albert Einstein?,"Albert Einstein (1879-1955) fue un físico teórico alemán que revolucionó la física moderna. Es conocido principalmente por su teoría de la relatividad (especial y general) y la ecuación E=mc². Recibió el Premio Nobel de Física en 1921 por su explicación del efecto fotoeléctrico. Sus contribuciones transformaron nuestra comprensión del espacio, tiempo, gravedad y energía.",
28,¿Qué es un volcán?,No veo ningún texto sobre volcanes que analizar. ¿Podrías proporcionarme el texto que quieres que analice y resuma?,
29,Nombra un color primario.,"No puedo analizar ningún texto porque solo has proporcionado una instrucción (""Nombra un color primario""), no un texto para analizar.

Si querías que nombrara un color primario: azul.

Si tienes un texto que quieres que analice, por favor compártelo.",
30,¿Cuál es el país más poblado del mundo?,"China es el país más poblado del mundo con aproximadamente 1.400 millones de habitantes, aunque India está muy cerca y se proyecta que pronto lo supere.",
